posx,posy,posz,turn,tick,
19.348192,1.2475,25.459225,509,1,
19.728308,1.2475,25.3347,510,1,
19.728308,1.2475,25.3347,511,1,
19.728308,1.2475,25.3347,512,1,
19.728308,1.2475,25.3347,513,1,
19.728308,1.2475,25.3347,514,1,
19.728308,1.2475,25.3347,515,1,
19.728308,1.2475,25.3347,516,1,
19.728308,1.2475,25.3347,517,1,
19.728308,1.2475,25.3347,518,1,
19.728308,1.2475,25.3347,519,1,
19.728308,1.2475,25.3347,520,1,
19.728308,1.2475,25.3347,521,1,
19.728308,1.2475,25.3347,522,1,
19.728308,1.2475,25.3347,523,1,
21.347637,1.3803453,25.298458,524,1,
23.346855,1.3725,25.251545,525,1,
25.309002,1.2475,25.209084,526,1,
26.008764,1.2475,25.191183,527,1,
26.0643,1.2475,25.189762,528,1,
26.114283,1.2475,25.188484,529,1,
26.150381,1.2475,25.187561,530,1,
26.169819,1.2475,25.187063,531,1,
26.183702,1.2475,25.186708,532,1,
26.197586,1.2475,25.186354,533,1,
26.21147,1.2475,25.185997,534,1,
26.225353,1.2475,25.185642,535,1,
26.239237,1.2475,25.185287,536,1,
26.25312,1.2475,25.184933,537,1,
26.267004,1.2475,25.184578,538,1,
26.280888,1.2475,25.184221,539,1,
26.294771,1.2475,25.183867,540,1,
26.308655,1.2475,25.183512,541,1,
26.322538,1.2475,25.183157,542,1,
26.336422,1.2475,25.1828,543,1,
26.350306,1.2475,25.182446,544,1,
26.36419,1.2475,25.18209,545,1,
26.378073,1.2475,25.181736,546,1,
26.391956,1.2475,25.181381,547,1,
26.40584,1.2475,25.181025,548,1,
26.419724,1.2475,25.18067,549,1,
26.433607,1.2475,25.180315,550,1,
26.44749,1.2475,25.17996,551,1,
26.461374,1.2475,25.179605,552,1,
26.475258,1.2475,25.179249,553,1,
26.489141,1.2475,25.178894,554,1,
26.503025,1.2475,25.17854,555,1,
26.516909,1.2475,25.178185,556,1,
26.530792,1.2475,25.17783,557,1,
26.544676,1.2475,25.177473,558,1,
26.55856,1.2475,25.177118,559,1,
26.572443,1.2475,25.176764,560,1,
26.572443,1.2475,25.176764,561,1,
26.572443,1.2475,25.176764,562,1,
26.584732,1.2475,25.183235,563,1,
26.597021,1.2475,25.189709,564,1,
26.60931,1.2475,25.19618,565,1,
26.6216,1.2475,25.202652,566,1,
26.633888,1.2475,25.209126,567,1,
26.646177,1.2475,25.215597,568,1,
26.658466,1.2475,25.22207,569,1,
26.670755,1.2475,25.228542,570,1,
26.683044,1.2475,25.235014,571,1,
